Character,Transcription,Fanqie,Sixtuple,Reference
㲪,tong,都滕,曾開一平登端,969
䔲,tong,都滕,曾開一平登端,969
㽅,tong,都滕,曾開一平登端,969
䳾,tong,都滕,曾開一平登端,969
楞,long,魯登,曾開一平登來,970
棱,long,魯登,曾開一平登來,970
稜,long,魯登,曾開一平登來,970
輘,long,魯登,曾開一平登來,970
倰,long,魯登,曾開一平登來,970
倰,longH,魯鄧,曾開一去登來,3027
僧,song,蘇增,曾開一平登心,971
鬙,song,蘇增,曾開一平登心,971
䒏,song,蘇增,曾開一平登心,971
崩,pong,北滕,曾開一平登幫,972
增,tsong,作滕,曾開一平登精,973
增,tsongH,子鄧,曾開一去登精,3028
憎,tsong,作滕,曾開一平登精,973
曾,tsong,作滕,曾開一平登精,973
曾,dzong,昨楞,曾開一平登從,975
矰,tsong,作滕,曾開一平登精,973
罾,tsong,作滕,曾開一平登精,973
熷,tsong,作滕,曾開一平登精,973
䎖,tsong,作滕,曾開一平登精,973
譄,tsong,作滕,曾開一平登精,973
𦼏,tsong,作滕,曾開一平登精,973
䒐,mong,武登,曾開一平登明,974
𦱛,mong,武登,曾開一平登明,974
層,dzong,昨楞,曾開一平登從,975
䁬,dzong,昨楞,曾開一平登從,975
朋,bong,步崩,曾開一平登並,976
堋,bong,步崩,曾開一平登並,976
堋,phong,普朋,曾開一平登滂,985
堋,pongH,方隥,曾開一去登幫,3025
鵬,bong,步崩,曾開一平登並,976
倗,bong,步崩,曾開一平登並,976
倗,phongX,普等,曾開一上登滂,1924
倗,bongH,父亘,曾開一去登並,3026
鬅,bong,步崩,曾開一平登並,976
弘,hwong,胡肱,曾合一平登匣,977
鞃,hwong,胡肱,曾合一平登匣,977
苰,hwong,胡肱,曾合一平登匣,977
肱,kwong,古弘,曾合一平登見,978
𩉦,kwong,古弘,曾合一平登見,978
薨,xwong,呼肱,曾合一平登曉,979
𠐿,xwong,呼肱,曾合一平登曉,979
𩖉,xwong,呼肱,曾合一平登曉,979
𩙛,xwong,呼肱,曾合一平登曉,979
𤃫,xwong,呼肱,曾合一平登曉,979
騰,dong,徒登,曾開一平登定,981
滕,dong,徒登,曾開一平登定,981
縢,dong,徒登,曾開一平登定,981
幐,dong,徒登,曾開一平登定,981
幐,dongH,徒亘,曾開一去登定,3023
螣,dong,徒登,曾開一平登定,981
螣,drimX,直稔,深開三上侵澄,1978
螣,dok,徒得,曾開一入登定,3727
藤,dong,徒登,曾開一平登定,981
謄,dong,徒登,曾開一平登定,981
𧈜,dong,徒登,曾開一平登定,981
儯,dong,徒登,曾開一平登定,981
𤻴,dong,徒登,曾開一平登定,981
鰧,dong,徒登,曾開一平登定,981
鰧,drimX,直稔,深開三上侵澄,1978
