Character,Transcription,Fanqie,Sixtuple,Reference
𨜓,drjeng,直貞,梗開三平清澄,917
𨺟,trjeng,陟盈,梗開三平清知,914
偵,trhjeng,丑貞,梗開三平清徹,915
偵,traengH,猪孟,梗開二去庚知,2958
偵,trhjengH,丑鄭,梗開三去清徹,2978
檉,trhjeng,丑貞,梗開三平清徹,915
赬,trhjeng,丑貞,梗開三平清徹,915
䞓,trhjeng,丑貞,梗開三平清徹,915
蟶,trhjeng,丑貞,梗開三平清徹,915
成,dzyeng,是征,梗開三平清常,916
𢦩,dzyeng,是征,梗開三平清常,916
城,dzyeng,是征,梗開三平清常,916
誠,dzyeng,是征,梗開三平清常,916
宬,dzyeng,是征,梗開三平清常,916
郕,dzyeng,是征,梗開三平清常,916
筬,dzyeng,是征,梗開三平清常,916
盛,dzyeng,是征,梗開三平清常,916
盛,dzyengH,承正,梗開三去清常,2986
珹,dzyeng,是征,梗開三平清常,916
呈,drjeng,直貞,梗開三平清澄,917
呈,drjengH,直正,梗開三去清澄,2977
程,drjeng,直貞,梗開三平清澄,917
酲,drjeng,直貞,梗開三平清澄,917
珵,drjeng,直貞,梗開三平清澄,917
䇸,drjeng,直貞,梗開三平清澄,917
裎,drjeng,直貞,梗開三平清澄,917
裎,trhjengX,丑郢,梗開三上清徹,1884
聲,syeng,書盈,梗開三平清書,918
征,tsyeng,諸盈,梗開三平清章,919
𨒌,tsyeng,諸盈,梗開三平清章,919
鯖,tsyeng,諸盈,梗開三平清章,919
鯖,tsheng,倉經,梗開四平青清,931
𨢹,tsyeng,諸盈,梗開三平清章,919
𦙫,tsyeng,諸盈,梗開三平清章,919
鉦,tsyeng,諸盈,梗開三平清章,919
怔,tsyeng,諸盈,梗開三平清章,919
正,tsyeng,諸盈,梗開三平清章,919
正,tsyengH,之盛,梗開三去清章,2975
鴊,tsyeng,諸盈,梗開三平清章,919
鴊,tsyengH,之盛,梗開三去清章,2975
䋊,tsyeng,諸盈,梗開三平清章,919
眐,tsyeng,諸盈,梗開三平清章,919
𧘿,tsyeng,諸盈,梗開三平清章,919
佂,tsyeng,諸盈,梗開三平清章,919
輕,khjieng,去盈,梗開三平清溪,920
輕,khjiengH,墟正,梗開三去清溪,2988
𨆪,khjieng,去盈,梗開三平清溪,920
𨆪,khengH,苦定,梗開四去青溪,2997
鑋,khjieng,去盈,梗開三平清溪,920
鑋,khengH,苦定,梗開四去青溪,2997
名,mjieng,武并,梗開三平清明,921
洺,mjieng,武并,梗開三平清明,921
跉,ljeng,呂貞,梗開三平清來,922
跉,leng,郎丁,梗開四平青來,939
并,pjieng,府盈,梗開三平清幫,923
并,pjiengH,畀政,梗開三去清幫,2983
